titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
2000 ANS D'AMOUR;2003;EDIT45-57;;MAZOYER;;GAFAH;ADF;JESUS-CHRIST, 2000 ANS D'AMOUR;11732;*;;
57 ALLELUIAS;1900;AL121;U566;DOMAINE PUBLIC;;COLLECTIF;MAME(LE CHALET);;4053;*;;
A BETHANIE;2008;SX57-14;;CHAPAL;;DELORME;ADF;;14042;*;;
A BETHLEEM JESUS EST NE;2006;F51-83;;BABONNEAU;;NOEL PROVENCAL;BAYARD-LITURGIE;;12960;*;;
A BETHLEEM, LA CITE DU ROI DAVID - PSAUME 71;1989;SYLH33;Z71-5;BOURGEOIS - REVEL;;GOUZES;SYLVANES;NOEL;6900;;*;
A BETHLEHEM;2008;F57-15;;DELORME;;DELORME;ADF;;14043;*;;
A CANA DE GALILEE;1990;U143;X905;GELINEAU;;GELINEAU;STUDIO SM;;13;*;;
À CAPHARNAÜM OÙ TU DESCENDS;2019;EDIT46-77;;BERNARD;;CHAMBELOIS;ADF;;18933;*;;
A CAUSE DE SION;2008;EDIT15-38;;D'APRES Is. 62,1-8;;SIMON;EDITIONS DE L'EMMANUEL;;13356;*;;
A CE MONDE QUE TU FAIS;1987;T146-1;RT146-1;RIMAUD;*;BERTHIER;STUDIO SM; - J BERTHIER 90 CHANTS POUR LA LITURGIE;14;*;;
A CE MONDE QUE TU FAIS;2012;RT63-69-2;;RIMAUD;*;METAYER;ADF;;15668;*;;
A CELUI QUI A POUVOIR;1989;Z500;X992;MOINES DE LIGUGE;;LEMOINE;EUROPART;;5568;*;;
A CELUI QUI A SOIF;1983;ZLH99-3;ZL99-1;CARMEL DE LA PAIX;;GODARD;SODEC;;15;*;;
A CELUI QUI N'ATTEND PLUS RIEN;1994;E15-79;EDIT244;BARROIS;;VEYSSEYRE;STUDIO SM;;4954;;*;
A CELUI QUI NOUS AIME;1956;I43;X782;AP. 1, 5-8;;GEOFFRAY;MAME(LE CHALET);;4138;*;;
A CELUI QUI NOUS AIME;1992;U583;Y583;SCOUARNEC;;AKEPSIMAS;STUDIO SM;;4526;*;;1999
A CELUI QUI VEILLE SUR SA CONDUITE;2017;UZ73-24;;D'APRES AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18552;*;;
A CHAQUE INSTANT DE MA VIE;2003;EDIT45-94;;MANNICK;;AKEPSIMAS;ADF;PRIEZ AVEC LES ENFANTS;11783;*;;
A CHAQUE JOUR SUFFIT SA PEINE;1900;P206;X965;DARRIGAUD;;WACKENHEIM;STUDIO SM;;16;;*;
A CHAQUE JOUR SUFFIT SA PEINE;2008;EDIT16-35;;DELORME;;DELORME;ADF;;14044;*;;
A DEUX SUR LE CHEMIN;2011;EDIT18-90;;BERNARD;;HERVY;ADF;;14910;*;;
A DIEU RIEN D'IMPOSSIBLE;1900;V257;M257;BERNARD;*;WACKENHEIM;STUDIO SM;;17;;*;
A FORCE DE COLOMBE;1991;G524;EDIT245;RIMAUD;*;VILLENEUVE;STUDIO SM;;18;*;;
A JAMAIS, O MARIE;2005;V50-30;;Cté N. D. DES GARDES;;DOURY;EUROPART;;12661;*;;
A JESUS, L’AGNEAU IMMOLE (VICTIMÆ PASCALI);2023;X81-14;;COMMUNAUTÉ DE L'EMMANUEL - LITURGIE CATHOLIQUE ROMAINE;;TRADITIONNEL;EDITIONS DE L'EMMANUEL;;20894;*;;
A L'ABRI DE TES MURAILLES;2018;DEV535;;JOLY;;WACKENHEIM;ADF;;18328;*;;
A L'AMOUR QUE VOUS AUREZ;1993;I14-40;X14-40;BIBLE;;ROBERT;SODEC;;5422;*;;
A L'APPEL DU SEIGNEUR;1997;N24-66;O24-66;MARTIN;;VINCENT;BAYARD-LITURGIE;;8411;;*;
A L'AURORE DE L'UNIVERS;2009;WP57-92-1;;CFC (Frère JEAN-FABRICE);;Sœur CLAIRE;KINNOR;;14252;;*;
A L'AURORE DE L'UNIVERS;2009;WP57-92-2;;CFC (Frère JEAN-FABRICE);;Sœur DOMINIQUE;KINNOR;;14253;;*;
A L'ENSEIGNE DE PAQUE;2005;IP27-32-6;;RIMAUD;*;WACKENHEIM;BAYARD-LITURGIE;;12708;*;;
A L'ENSEIGNE DE PAQUES;1997;I27-32-1;IP27-32-1;RIMAUD;*;LECOT;LETHIELLEUX (DDB);;8690;;*;
A L'ENSEIGNE DE PAQUES;1998;I27-32-2;IP27-32-2;RIMAUD;*;BOHN;CÆCILIA;;8800;*;;
A L'ENSEIGNE DE PAQUES;1999;I27-32-4;IP27-32-4;RIMAUD;*;VILLENEUVE;KINNOR;;9719;*;;
A L'ENSEIGNE DE PAQUES;2001;I27-32-5;IP27-32-5;RIMAUD;*;ROBERT;JUBILUS-VOIX NOUVELLES EDITIONS;;10685;;*;
A L'HEURE DU PLUS GRAND AMOUR;1995;H20-39-1;HX20-39-1;CFC;;THUNUS;JUBILUS-VOIX NOUVELLES EDITIONS;;7904;;*;1993
A L'HEURE DU PLUS GRAND AMOUR;2003;HX20-39-3;;CFC (Frère MAURICE);;ROBERT;KINNOR;;11610;*;;
A L'HEURE DU PLUS GRAND AMOUR;2009;HX20-39-4;;CFC (Frère MAURICE);;METAYER;KINNOR;;14254;*;;
A L'HEURE DU PLUS GRAND AMOUR;2009;HX20-39-5;;CFC (Frère MAURICE);;ROSAZ;KINNOR;;14255;*;;
A L'HEURE DU PLUS GRAND AMOUR - TROPAIRE DU JEUDI SAINT;1988;H191;HX191;CFC;;CAILLAT;STUDIO SM;;19;;*;
A L'HEURE OU DESCEND LE SOIR;1980;PLH174;P544;CFC;;Sœur Bénédicte LIETART;SODEC;;20;*;;
A L'HEURE OU DESCEND LE SOIR;2007;P62-70-2;;CFC (Sœur MARIE-PIERRE);;CARON;EDITIONS LAUDEM;;15424;*;;
A L'HEURE OU JESUS PASSAIT;2002;XL42-74;;AELF;;MAZE;KINNOR;;11052;*;;
A L'HEURE OU LA NUIT EST TOMBEE;1900;H153;EDIT249;GINOT;;GINOT;STUDIO SM;;21;*;;
A L'HEURE OU NOTRE AMI NOUS QUITTE;1978;S74;SP74;DERVOUT;;DERVOUT;STUDIO SM;;7972;;*;
A L'HEURE OU TOMBE LA LUMIERE;1980;P506;;CFC;;BOULLAY;EDITIONS DE L'EMMANUEL;;22;*;;
A L'HEURE OU TOMBE LA LUMIERE;1985;P216;;CFC;;TAMIE;STUDIO SM;;23;;*;
A L'HEURE OU TU CHOISIS;1976;H139;;DUCHESNEAU;;DUCHESNEAU;FLEURUS;;24;;*;
A L'HORIZON DE CE MONDE ENDORMI;2003;ZL(NT)3-5;;AELF - DOMERGUE;;DOMERGUE;STUDIO SM;;12123;;*;
A L'IMAGE DE TON AMOUR;1900;D218;X971;LECOT;;LECOT - TEMPLE;LETHIELLEUX (DDB);SERVIR;25;;*;
A L'INFINI;2020;DEV47-31;;HOLI;;HOLI;ADF;;19540;*;;
A L'OEUVRE DANS NOS VIES;1900;L194;M194;BERNARD;;GERARD;LE TRIFORIUM;;4671;;*;
